id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
412,412,412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,B,10,16,0.63,active,2022-12-30 16:25:08,"-9.1546, 38.73448, -9.1546, 38.73448",16,2022-12-30,-9.1546,38.73448
490,490,490 - Rua Fernando Namora / Azinhaga da Torre do Fato,A,6,16,0.38,active,2022-12-30 16:25:21,"-9.17849, 38.76026, -9.17849, 38.76026",16,2022-12-30,-9.17849,38.76026
442,442,442 - Campo Pequeno,A,9,16,0.56,active,2022-12-30 16:25:09,"-9.14523, 38.743371, -9.14523, 38.743371",16,2022-12-30,-9.14523,38.743371
218,218,218 - Cais do Sodré,A,11,22,0.5,active,2022-12-30 16:25:22,"-9.14471, 38.70617, -9.14471, 38.70617",16,2022-12-30,-9.14471,38.70617
430,430,430 - Av. Barbosa Du Bocage / Rua Arco do Cego,B,6,20,0.3,active,2022-12-30 16:25:09,"-9.14329, 38.74081, -9.14329, 38.74081",16,2022-12-30,-9.14329,38.74081
216,216,216 - Praça D. Luís I,A,4,21,0.19,active,2022-12-30 16:25:22,"-9.14655, 38.70663, -9.14655, 38.70663",16,2022-12-30,-9.14655,38.70663
426,426,426 - Av. Elias Garcia / Av. 5 de Outubro,B,6,14,0.43,active,2022-12-30 16:25:09,"-9.14793, 38.739046, -9.14793, 38.739046",16,2022-12-30,-9.14793,38.739046
462,462,462 - Campo Grande / Biblioteca Nacional,B,10,29,0.34,active,2022-12-30 16:25:22,"-9.15031, 38.75027, -9.15031, 38.75027",16,2022-12-30,-9.15031,38.75027
449,449,449 - Av. 5 de Outubro / Rua da Cruz Vermelha,B,4,14,0.29,active,2022-12-30 16:25:09,"-9.150085, 38.746836, -9.150085, 38.746836",16,2022-12-30,-9.150085,38.746836
483,483,483 - Rua Professor Francisco Lucas Pires ,B,2,15,0.13,active,2022-12-30 16:25:22,"-9.16405, 38.75939, -9.16405, 38.75939",16,2022-12-30,-9.16405,38.75939
